qsort:  0.031 ,Sort: 0.04 ,Merge: 0.16
qsort:  0.019 ,Sort: 0.027 ,Merge: 0.143
qsort:  0.023 ,Sort: 0.041 ,Merge: 0.182
qsort:  0.023 ,Sort: 0.042 ,Merge: 0.172
qsort:  0.007 ,Sort: 0.019 ,Merge: 0.142
qsort:  0.023 ,Sort: 0.044 ,Merge: 0.142
qsort:  0.011 ,Sort: 0.035 ,Merge: 0.151
qsort:  0.027 ,Sort: 0.044 ,Merge: 0.139
qsort:  0.011 ,Sort: 0.028 ,Merge: 0.168
qsort:  0.024 ,Sort: 0.046 ,Merge: 0.184
qsort:  0.017 ,Sort: 0.029 ,Merge: 0.115
qsort:  0.016 ,Sort: 0.027 ,Merge: 0.151
qsort:  0.017 ,Sort: 0.033 ,Merge: 0.212
qsort:  0.027 ,Sort: 0.048 ,Merge: 0.18
qsort:  0.03 ,Sort: 0.042 ,Merge: 0.187
qsort:  0.025 ,Sort: 0.045 ,Merge: 0.232
qsort:  0.017 ,Sort: 0.048 ,Merge: 0.175
qsort:  0.029 ,Sort: 0.05 ,Merge: 0.2
qsort:  0.011 ,Sort: 0.048 ,Merge: 0.202
qsort:  0.019 ,Sort: 0.033 ,Merge: 0.176
qsort:  0.02 ,Sort: 0.028 ,Merge: 0.223
qsort:  0.02 ,Sort: 0.023 ,Merge: 0.222
qsort:  0.011 ,Sort: 0.021 ,Merge: 0.1
qsort:  0.012 ,Sort: 0.047 ,Merge: 0.172
qsort:  0.029 ,Sort: 0.05 ,Merge: 0.229
qsort:  0.027 ,Sort: 0.048 ,Merge: 0.219
qsort:  0.014 ,Sort: 0.03 ,Merge: 0.246
qsort:  0.008 ,Sort: 0.053 ,Merge: 0.265
qsort:  0.032 ,Sort: 0.049 ,Merge: 0.225
qsort:  0.03 ,Sort: 0.05 ,Merge: 0.247
qsort:  0.02 ,Sort: 0.025 ,Merge: 0.18
qsort:  0.018 ,Sort: 0.043 ,Merge: 0.147
qsort:  0.01 ,Sort: 0.029 ,Merge: 0.212
qsort:  0.008 ,Sort: 0.044 ,Merge: 0.229
qsort:  0.018 ,Sort: 0.045 ,Merge: 0.178
qsort:  0.02 ,Sort: 0.03 ,Merge: 0.209
qsort:  0.025 ,Sort: 0.055 ,Merge: 0.237
qsort:  0.02 ,Sort: 0.048 ,Merge: 0.243
qsort:  0.023 ,Sort: 0.023 ,Merge: 0.199
qsort:  0.016 ,Sort: 0.026 ,Merge: 0.25
qsort:  0.03 ,Sort: 0.05 ,Merge: 0.283
qsort:  0.031 ,Sort: 0.046 ,Merge: 0.212
qsort:  0.025 ,Sort: 0.05 ,Merge: 0.26
qsort:  0.028 ,Sort: 0.057 ,Merge: 0.227
qsort:  0.019 ,Sort: 0.047 ,Merge: 0.222
qsort:  0.03 ,Sort: 0.05 ,Merge: 0.24
qsort:  0.016 ,Sort: 0.027 ,Merge: 0.162
qsort:  0.01 ,Sort: 0.023 ,Merge: 0.156
qsort:  0.015 ,Sort: 0.033 ,Merge: 0.238
qsort:  0.015 ,Sort: 0.059 ,Merge: 0.186
qsort:  0.014 ,Sort: 0.025 ,Merge: 0.149
qsort:  0.012 ,Sort: 0.027 ,Merge: 0.159
qsort:  0.021 ,Sort: 0.024 ,Merge: 0.173
qsort:  0.029 ,Sort: 0.038 ,Merge: 0.175
qsort:  0.016 ,Sort: 0.033 ,Merge: 0.176
qsort:  0.011 ,Sort: 0.023 ,Merge: 0.245
qsort:  0.031 ,Sort: 0.05 ,Merge: 0.235
qsort:  0.015 ,Sort: 0.031 ,Merge: 0.231
qsort:  0.014 ,Sort: 0.027 ,Merge: 0.316
qsort:  0.033 ,Sort: 0.059 ,Merge: 0.292
qsort:  0.016 ,Sort: 0.026 ,Merge: 0.195
